  No.    Count
  1:       16
  2:        2
  3:       16
  4:        1
  5:        6
  6:       16
  7:       81
  8:        2
  9:      100
 10:       16
 11:       90
 12:       20
 13:        1
 14:        2
 15:       16
 16:       16
 17:      144
 18:      380
 19:        2
 20:        2
 21:       16
 22:        2
 23:      144
 24:       20
 25:       49
 26:       16
 27:        1
 28:       16
 29:       81
 30:       42
 31:       42
 32:       23
 33:        2
 34:       12
 35:        1
 36:       16
 37:        2
 38:        2
 39:       16
 40:      100
 41:        2
 42:        2
 43:       24
 44:        1
 45:      156
 46:       90
 47:       16
 48:       90
 49:       36
 50:       42
 51:       12
 52:        2
 53:        1
 54:        1
 55:       13
 56:       16
 57:      400
 58:      144
 59:       49
 60:      144
 61:       16
 62:      144
 63:        2
 64:       42
 65:        2
 66:        1
 67:        2
 68:       16
 69:       81
 70:       42
 71:       81
 72:       16
 73:       50
 74:      100
 75:        2
 76:       42
 77:        2
 78:       20
 79:       81
 80:        1
 81:       16
 82:       49
 83:        2
 84:        7
 85:       90
 86:       16
 87:       90
 88:       16
 89:       16
 90:        2
 91:       24
 92:        1
 93:       42
 94:       16
 95:       49
 96:        1
 97:        1
 98:      144
 99:        1
100:        1
101:      400
102:       90
103:       16
104:        1
105:       24
106:        1
107:       16
108:       16
109:        1
110:        2
111:      144
112:        2
113:       24
114:       16
115:       81
116:        1
117:        2
118:        2
119:        2
120:       16
